rank,player_name,sg_putting_avg,putter_type,putter_brand,putter_model,putter_release_year,group,season,source,putter_era
1,Sam Burns,0.983,mallet,Odyssey,Ai-ONE 7S,2023,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
2,Taylor Montgomery,0.917,mallet,TaylorMade,Ghost Spider S,2012,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),classic (pre-2016)
3,Harry Hall,0.881,blade,Odyssey,O-Works Black #1 Wide S,2018,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),mid-era (2016-2020)
4,Denny Mccarthy,0.679,mallet,Scotty Cameron,TOUR-only GoLo N7,2013,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),classic (pre-2016)
5,Nico Echavarria,0.666,mallet,Odyssey,Tri-Hot 5K Seven DB,2023,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
6,Garrick Higgo,0.661,mallet,L.A.B.,Golf OZ.1 Pro,2024,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
7,Cameron Young,0.642,mallet,Scotty Cameron,Phantom 9.5 Tour Prototype,2022,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
8,Sam Ryder,0.626,mallet,TaylorMade,Spider Tour Red,2017,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),mid-era (2016-2020)
9,Rory Mcilroy,0.597,mallet,TaylorMade,Spider Tour X,2023,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
10,Sami Valimaki,0.548,mallet,Odyssey,White Hot OG 2-Ball,2021,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
11,Brandt Snedeker,0.531,mallet,Odyssey,White Hot XG Rossie,2006,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),classic (pre-2016)
12,Frankie Capan Iii,0.488,mallet,Scotty Cameron,Phantom T9.5 Tour Only,2024,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
